# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
8.000000000000000000e+01 2.878851098128072863e+03 6.561595802217257756e+01 6.170341166096715142e+02 2.001179196082488943e+03
8.500000000000000000e+01 3.179615278643032070e+03 7.247109889975219232e+01 6.755112060922871251e+02 2.190833433619717198e+03
9.000000000000000000e+01 3.534926111543575189e+03 8.056948950827820966e+01 7.466631327041401391e+02 2.421594993578809408e+03
9.500000000000000000e+01 3.859175656280105159e+03 8.795991846445974716e+01 8.186792527566229865e+02 2.655159325521210576e+03
1.000000000000000000e+02 4.183425201016634674e+03 9.535034742064128466e+01 9.030821454581326861e+02 2.928896722557704379e+03
1.050000000000000000e+02 4.609192126581895536e+03 1.050546022649732123e+02 9.915179408825815699e+02 3.215713722182973015e+03
1.100000000000000000e+02 4.954654258357263643e+03 1.129285172276338898e+02 1.062957931974644225e+03 3.447409539469833817e+03
1.150000000000000000e+02 5.362996558854903014e+03 1.222356228523578494e+02 1.169253725172108261e+03 3.792150493416816062e+03
1.200000000000000000e+02 5.769066082169810215e+03 1.314909264049590263e+02 1.253944682353828284e+03 4.066822147781080730e+03
1.250000000000000000e+02 6.161498942388319847e+03 1.404354175248235777e+02 1.327977253767780212e+03 4.306926281017867950e+03
1.300000000000000000e+02 6.602417715838460026e+03 1.504850195166405058e+02 1.413532404390129614e+03 4.584400707365440212e+03
1.350000000000000000e+02 7.080458516606567173e+03 1.613807220197959396e+02 1.524437229270952912e+03 4.944089778556736746e+03
1.400000000000000000e+02 7.570620795682583775e+03 1.725527022409395386e+02 1.626700119745478332e+03 5.275751129914945523e+03
1.450000000000000000e+02 7.986539020122667353e+03 1.820324814394060979e+02 1.733283977423153374e+03 5.621426341189700906e+03
1.500000000000000000e+02 8.537308690738218502e+03 1.945858502504900684e+02 1.841884286462297268e+03 5.973641353758841433e+03
1.550000000000000000e+02 9.038834855727907780e+03 2.060168408322477092e+02 1.941266532134723775e+03 6.295960131839355199e+03
1.600000000000000000e+02 9.553240091419738746e+03 2.177413764893674681e+02 2.061677484862473648e+03 6.686479694847045721e+03
1.650000000000000000e+02 1.004037200091877821e+04 2.288442872810140329e+02 2.182376502070435436e+03 7.077933515182511655e+03
1.700000000000000000e+02 1.062599092166956871e+04 2.421919545313139110e+02 2.289824553188738719e+03 7.426411498440570540e+03
1.750000000000000000e+02 1.117979096186209608e+04 2.548143927718949158e+02 2.421181956164467010e+03 7.852432839903509375e+03
1.800000000000000000e+02 1.179722876317114424e+04 2.688872890319134967e+02 2.550522907778725767e+03 8.271914380072059430e+03
1.850000000000000000e+02 1.243890952109600585e+04 2.835127407279082945e+02 2.695707405804530481e+03 8.742780073267940679e+03
1.900000000000000000e+02 1.300558863199068765e+04 2.964287240438516733e+02 2.841756097270966166e+03 9.216448538447129977e+03
1.950000000000000000e+02 1.381015175467806148e+04 3.147666575753115126e+02 2.996158658663488040e+03 9.717210466131635258e+03
2.000000000000000000e+02 1.467607986129921846e+04 3.345032470540861027e+02 3.174758636393644792e+03 1.029645000934878772e+04
2.050000000000000000e+02 1.559049388115200418e+04 3.553449474048130696e+02 3.348173453480023909e+03 1.085887292066609007e+04
2.100000000000000000e+02 1.652081734128391327e+04 3.765492622603992459e+02 3.537431816977949438e+03 1.147267998501072361e+04
2.150000000000000000e+02 1.753296077999420595e+04 3.996184517124052036e+02 3.752615983694767692e+03 1.217057020885461679e+04
2.200000000000000000e+02 1.849737589786711396e+04 4.215997976498331354e+02 3.960886602886546825e+03 1.284603825683203650e+04
2.250000000000000000e+02 1.958149061403060114e+04 4.463093860523932790e+02 4.205741411064988824e+03 1.364015698543620238e+04
2.300000000000000000e+02 2.074287975440700757e+04 4.727802449071276101e+02 4.500431374319746283e+03 1.459590223174450148e+04
2.350000000000000000e+02 2.194063332970713964e+04 5.000799369158264085e+02 4.798290046856815934e+03 1.556192430865827373e+04
2.400000000000000000e+02 2.326414724245181424e+04 5.302460102486517144e+02 5.189481610981902122e+03 1.683064575976939523e+04
2.450000000000000000e+02 2.441644527409727743e+04 5.565096608148946871e+02 5.607463171766511550e+03 1.818625314236308623e+04
2.500000000000000000e+02 2.528161578832419764e+04 5.762289829362952105e+02 5.915980230071347250e+03 1.918684274040433229e+04
2.550000000000000000e+02 2.537783002239320558e+04 5.784219373228255563e+02 5.956885386261157691e+03 1.931950728094761871e+04
