# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_UV	mouse_S_cone_UV	
1.050000000000000000e+02 5.368181699199611785e+02 1.223538047032422860e+01 3.300527588453301746e+02 1.070434675865299823e+03
1.100000000000000000e+02 6.051648484725382104e+02 1.379316607228776093e+01 3.727126392403047248e+02 1.208790178188025493e+03
1.150000000000000000e+02 6.782977089965845607e+02 1.546004030183978450e+01 4.293510542978094691e+02 1.392481184667434718e+03
1.200000000000000000e+02 7.677035882236249336e+02 1.749781586519263854e+01 4.796158369703262565e+02 1.555501080443277942e+03
1.250000000000000000e+02 8.766370898942591339e+02 1.998067302910650866e+01 5.408171933943560816e+02 1.753990722994557018e+03
1.300000000000000000e+02 9.817416459877181296e+02 2.237625929094959076e+01 5.959346279963521056e+02 1.932748850783341823e+03
1.350000000000000000e+02 1.094312645956668803e+03 2.494202381183071182e+01 6.714766572866045635e+02 2.177748492417642865e+03
1.400000000000000000e+02 1.202288911233008548e+03 2.740306325022687162e+01 7.415866135214695305e+02 2.405130710156859550e+03
1.450000000000000000e+02 1.343959897588491003e+03 3.063208662684597172e+01 8.192290443931382242e+02 2.656942422363926198e+03
1.500000000000000000e+02 1.463614446875215890e+03 3.335930231655805045e+01 9.088944636273970445e+02 2.947747366125444387e+03
1.550000000000000000e+02 1.610071615202166413e+03 3.669741432076560983e+01 9.913171187878064075e+02 3.215062411360184342e+03
1.600000000000000000e+02 1.747913655980473550e+03 3.983916679531392901e+01 1.087428598047791638e+03 3.526773364810535895e+03
1.650000000000000000e+02 1.927108308992271759e+03 4.392344501222670772e+01 1.186437182937317175e+03 3.847880277671600197e+03
1.700000000000000000e+02 2.077202975617539323e+03 4.734446437340152869e+01 1.284793919060196004e+03 4.166873099665252994e+03
1.750000000000000000e+02 2.240507504484060519e+03 5.106656834672055822e+01 1.389524287568062164e+03 4.506537032362471109e+03
1.800000000000000000e+02 2.404769269744876510e+03 5.481049004555729454e+01 1.504466953420056370e+03 4.879321721982446434e+03
1.850000000000000000e+02 2.547780387052369406e+03 5.807005823790115784e+01 1.604054959435490218e+03 5.202307826725653285e+03
1.900000000000000000e+02 2.691365846196438724e+03 6.134271706555562531e+01 1.676627455455464087e+03 5.437676609963975352e+03
1.950000000000000000e+02 2.874389444785413161e+03 6.551426618453922401e+01 1.759122538256611506e+03 5.705226554183981534e+03
2.000000000000000000e+02 2.967241375031910593e+03 6.763058555975577235e+01 1.849874372101948438e+03 5.999554982724518595e+03
2.050000000000000000e+02 3.155625497428930885e+03 7.192431394163848779e+01 1.950186654524766709e+03 6.324890077320402270e+03
2.100000000000000000e+02 3.247520191281135340e+03 7.401881559133734356e+01 2.028336078881604408e+03 6.578346082424341148e+03
2.150000000000000000e+02 3.366791846010142763e+03 7.673730419084233745e+01 2.073386071420949975e+03 6.724453251260905745e+03
2.200000000000000000e+02 3.490658235431760204e+03 7.956051787283227839e+01 2.172756794514167268e+03 7.046734659048307549e+03
2.250000000000000000e+02 3.586764769418856758e+03 8.175101751480900703e+01 2.215126964346187833e+03 7.184150565429961716e+03
2.300000000000000000e+02 3.706036424147863272e+03 8.446950611431398670e+01 2.293710954547456822e+03 7.439015964445508871e+03
2.350000000000000000e+02 3.789507437730282618e+03 8.637201177945712516e+01 2.341658052716341899e+03 7.594519092692783488e+03
2.400000000000000000e+02 3.887911339063685318e+03 8.861487396267634153e+01 2.393661098766582199e+03 7.763176564115052315e+03
2.450000000000000000e+02 3.953960650269958023e+03 9.012029702339742698e+01 2.450951362590733879e+03 7.948981661461873045e+03
2.500000000000000000e+02 4.014266543110466046e+03 9.149481373101228598e+01 2.471593240201206299e+03 8.015927872263194331e+03
2.550000000000000000e+02 4.035802911623904492e+03 9.198567949800060717e+01 2.505561803707561012e+03 8.126095496353784256e+03
