# levels	mouse_M_cone_green	mouse_S_cone_green	mouse_M_cone_blue	mouse_S_cone_blue	
1.000000000000000000e+02 1.180463669217404640e+04 7.642237182425005949e-04 1.383354669979593382e+03 1.251096598032704787e+04
1.050000000000000000e+02 1.238481167630685013e+04 8.017838308632641801e-04 1.469363242939194379e+03 1.328882169127781890e+04
1.100000000000000000e+02 1.237900266520164223e+04 8.014077596480376903e-04 1.592662246133027566e+03 1.440392952865479310e+04
1.150000000000000000e+02 1.288148212580226937e+04 8.339379197651445620e-04 1.682580299681701490e+03 1.521714231737605405e+04
1.200000000000000000e+02 1.373395450549178349e+04 8.891263705996592078e-04 1.695210929277166997e+03 1.533137287632686275e+04
1.250000000000000000e+02 1.443321421728138193e+04 9.343959431325693033e-04 1.798060341697388822e+03 1.626153599921204841e+04
1.300000000000000000e+02 1.519274241928753872e+04 9.835672545234568596e-04 1.855198904153068497e+03 1.677829328970382267e+04
1.350000000000000000e+02 1.560590833414556801e+04 1.010315319706453713e-03 1.929779764621532649e+03 1.745279754255622902e+04
1.400000000000000000e+02 1.552603443144894118e+04 1.005144340497087256e-03 1.949327167566896605e+03 1.762958293140867681e+04
1.450000000000000000e+02 1.638431582224365775e+04 1.060708862546828066e-03 2.081347319767123281e+03 1.882356424996598071e+04
1.500000000000000000e+02 1.728689092271559639e+04 1.119140927612672027e-03 2.143899009192287849e+03 1.938927749429381583e+04
1.550000000000000000e+02 1.781333255412521612e+04 1.153222381492589009e-03 2.221487162421577978e+03 2.009097949927737500e+04
1.600000000000000000e+02 1.835211833413340719e+04 1.188102986704863123e-03 2.319524906424479923e+03 2.097762621875273180e+04
1.650000000000000000e+02 1.874930946845210929e+04 1.213816856045986424e-03 2.385384617886550586e+03 2.157325699042480846e+04
1.700000000000000000e+02 1.878997254618857914e+04 1.216449354552573371e-03 2.428990362918517349e+03 2.196762439632643145e+04
1.750000000000000000e+02 2.004617119769015335e+04 1.297774754845341201e-03 2.526727377645336219e+03 2.285155134058867043e+04
1.800000000000000000e+02 2.074543090947976452e+04 1.343044327378252164e-03 2.566724371364310628e+03 2.321328144393290131e+04
1.850000000000000000e+02 2.106274814110183797e+04 1.363587217510009008e-03 2.656642424912984552e+03 2.402649423265416044e+04
1.900000000000000000e+02 2.198420252766570775e+04 1.423241514025339657e-03 2.717389738681654308e+03 2.457588882570331407e+04
1.950000000000000000e+02 2.230369813845223325e+04 1.443925430862806570e-03 2.783550179419808956e+03 2.517423937258852311e+04
2.000000000000000000e+02 2.274445685606000188e+04 1.472459834318129738e-03 2.847304785949303096e+03 2.575083171776881136e+04
2.050000000000000000e+02 2.340595799566574715e+04 1.515284943952067108e-03 2.889106155324772772e+03 2.612888047239173102e+04
2.100000000000000000e+02 2.376756893696504630e+04 1.538695377099927753e-03 3.031050373635722735e+03 2.741261437298181045e+04
2.150000000000000000e+02 2.458446112363514476e+04 1.591580391741178116e-03 3.118261863699653077e+03 2.820134918478503459e+04
2.200000000000000000e+02 2.513486492585375527e+04 1.627213139383905643e-03 3.171190216290176977e+03 2.868002962229320110e+04
2.250000000000000000e+02 2.537811726588441525e+04 1.642961121521522953e-03 3.169686569909764330e+03 2.866643074622763015e+04
2.300000000000000000e+02 2.620444909560047017e+04 1.696457251887516443e-03 3.344711008589791163e+03 3.024933992026031410e+04
2.350000000000000000e+02 2.657259517439312913e+04 1.720290765152506863e-03 3.424704996027741799e+03 3.097280012694879042e+04
2.400000000000000000e+02 2.683037004218680522e+04 1.736978925328190289e-03 3.511615756815590430e+03 3.175881516353890765e+04
2.450000000000000000e+02 2.802630020347183017e+04 1.814402586762981417e-03 3.522141281478478504e+03 3.185400729599791521e+04
2.500000000000000000e+02 2.859195265984161597e+04 1.851022521345678778e-03 3.547402540669409973e+03 3.208246841389953988e+04
2.550000000000000000e+02 2.873136892636664925e+04 1.860048230511118870e-03 3.547402540669409973e+03 3.208246841389953988e+04
