# time	AI0	AI1
8.681100000000000705e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.681600000000000250e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.682099999999999795e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.682699999999999818e+01 5.718475073313782353e-01 5.474095796676441417e-01
8.683100000000000307e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.683599999999999852e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.684099999999999397e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.684600000000000364e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.685099999999999909e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.685599999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.686100000000000421e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.686599999999999966e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.687099999999999511e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.687600000000000477e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.688100000000000023e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.688599999999999568e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.689100000000000534e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.689600000000000080e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.690099999999999625e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.690600000000000591e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.691200000000000614e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.691599999999999682e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.692100000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.692600000000000193e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.693099999999999739e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.693600000000000705e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.694100000000000250e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.694599999999999795e+01 5.620723362658845979e-01 5.571847507331377791e-01
8.695099999999999341e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.695699999999999363e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.696099999999999852e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.696599999999999397e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.697100000000000364e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.697599999999999909e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.698099999999999454e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.698600000000000421e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.699099999999999966e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.699599999999999511e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.700100000000000477e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.700600000000000023e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.701099999999999568e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.701600000000000534e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.702100000000000080e+01 5.669599217986314166e-01 5.571847507331377791e-01
8.702599999999999625e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.703100000000000591e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.703600000000000136e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.704200000000000159e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.704600000000000648e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.705100000000000193e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.705599999999999739e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.706100000000000705e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.706600000000000250e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.707099999999999795e+01 5.620723362658845979e-01 5.474095796676441417e-01
8.707599999999999341e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.708100000000000307e+01 5.571847507331377791e-01 5.522971652003909604e-01
8.708599999999999852e+01 5.620723362658845979e-01 5.425219941348973229e-01
8.709099999999999397e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.709600000000000364e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.710099999999999909e+01 5.718475073313782353e-01 5.522971652003909604e-01
8.710599999999999454e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.711100000000000421e+01 5.669599217986314166e-01 5.474095796676441417e-01
8.711599999999999966e+01 5.620723362658845979e-01 5.522971652003909604e-01
8.712099999999999511e+01 5.669599217986314166e-01 5.522971652003909604e-01
8.712699999999999534e+01 5.669599217986314166e-01 5.474095796676441417e-01
